AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,PAINT_TOUCHES
24.0,74.0,190.0,24.0,0.228,102.17,2391,9.7,9.5,1.73,3.99,2.1,19.3,4.33,0.4,1.2
29.0,83.0,249.0,16.7,0.127,100.64,1916,3.3,0.3,1.23,4.48,0.0,15.1,0.47,4.0,4.4
25.0,78.0,227.0,19.9,0.137,102.74,2337,5.3,2.1,1.55,4.36,0.4,18.1,0.94,0.6,1.7
28.0,77.0,205.0,29.5,0.204,101.86,4451,12.5,3.9,2.14,4.09,4.2,27.1,1.8,0.3,0.8
26.0,83.0,260.0,13.2,0.189,94.89,958,4.0,0.1,0.91,4.15,0.1,14.0,0.45,1.1,2.8
26.0,72.0,183.0,27.3,0.221,91.16,3687,10.1,8.1,1.96,4.29,4.1,29.8,6.17,0.5,0.5
28.0,75.0,190.0,32.5,0.254,97.69,4243,15.3,13.8,2.27,4.19,5.3,30.9,3.9,0.9,1.7
35.0,79.0,234.0,16.8,0.15,98.79,2541,4.4,2.9,1.17,4.17,0.6,15.7,0.92,0.5,0.7
22.0,82.0,248.0,11.4,0.147,103.11,1419,3.3,0.0,0.87,4.29,0.0,9.3,0.35,1.3,3.9
23.0,74.0,196.0,22.9,0.139,102.43,3334,6.6,4.6,1.75,4.28,2.9,17.4,4.44,0.2,0.3
32.0,78.0,215.0,27.7,0.139,100.98,4667,7.9,2.6,2.22,4.5,1.6,21.7,1.02,0.3,1.0
21.0,78.0,205.0,9.0,0.189,98.12,405,3.1,1.4,0.63,4.19,1.7,8.3,1.78,0.2,0.1
25.0,79.0,220.0,38.7,0.213,94.13,4934,14.0,6.6,2.77,4.31,3.6,42.5,1.74,2.0,4.6
27.0,82.0,231.0,11.6,0.158,96.12,1479,3.3,1.0,0.86,4.45,0.4,9.6,0.43,0.5,1.7
29.0,76.0,220.0,30.8,0.214,100.47,5242,13.6,5.5,2.4,4.36,4.7,32.2,1.87,0.3,0.8
30.0,72.0,180.0,23.3,0.175,102.73,4091,8.1,3.7,1.86,4.49,3.3,16.3,4.4,0.4,0.4
24.0,78.0,224.0,27.8,0.13,99.77,3822,7.2,1.8,2.15,4.33,0.5,19.1,0.61,0.5,1.1
27.0,75.0,193.0,33.0,0.286,102.01,4723,18.5,11.4,2.41,4.11,7.7,31.1,3.91,1.3,2.0
31.0,80.0,230.0,21.4,0.114,102.12,3303,5.0,0.5,1.65,4.64,0.1,14.6,0.27,0.8,2.1
21.0,81.0,185.0,14.7,0.172,102.84,1124,4.9,1.4,1.11,4.21,1.1,10.2,1.46,0.1,1.1
26.0,73.0,200.0,13.7,0.135,101.81,1922,3.8,1.2,1.08,4.42,1.7,9.2,2.91,0.1,0.2
33.0,79.0,199.0,19.9,0.217,98.65,2250,7.6,2.7,1.37,4.13,2.7,20.8,1.36,1.1,0.7
37.0,79.0,257.0,11.4,0.158,99.65,782,3.5,1.4,0.85,4.21,0.2,9.2,1.02,0.8,2.1
22.0,80.0,225.0,9.1,0.254,105.88,603,4.5,1.0,0.71,4.3,1.7,7.5,2.08,0.1,0.5
22.0,79.0,205.0,28.6,0.197,94.96,3281,9.9,7.5,2.07,4.34,2.3,28.6,2.31,0.5,1.0
27.0,76.0,219.0,25.1,0.232,102.66,3755,10.5,6.5,1.79,4.29,2.7,28.1,3.01,0.8,1.0
27.0,80.0,226.0,34.3,0.236,99.23,5105,16.3,8.4,2.48,4.07,4.9,37.2,2.05,1.7,2.5
24.0,84.0,240.0,27.3,0.097,96.68,2889,4.6,0.0,1.92,3.98,0.0,13.4,0.3,0.7,7.5
22.0,78.0,205.0,24.8,0.163,100.26,3785,7.5,5.4,1.85,4.48,1.8,29.2,1.7,0.3,0.6
29.0,86.0,270.0,23.2,0.13,96.97,3791,5.1,0.1,1.58,4.09,0.3,17.1,0.39,2.5,4.3
27.0,77.0,210.0,21.0,0.101,102.59,2909,4.5,1.2,1.69,4.49,0.4,14.6,0.82,0.4,1.0
25.0,75.0,190.0,9.6,0.162,100.19,456,3.2,1.3,0.78,4.84,0.6,6.9,2.38,0.3,1.5
23.0,82.0,234.0,17.5,0.229,100.85,2354,7.7,2.7,1.28,4.08,1.2,19.7,0.93,1.0,1.9
28.0,82.0,235.0,27.5,0.189,99.68,4353,10.3,3.3,1.92,4.22,1.4,25.5,0.46,1.3,2.5
24.0,73.0,179.0,18.5,0.172,92.26,2871,5.2,5.7,1.39,4.5,1.5,16.5,4.31,0.5,0.3
29.0,76.0,215.0,25.8,0.25,101.37,2942,11.7,8.1,1.93,4.14,3.2,23.3,2.55,0.4,0.6
33.0,82.0,245.0,14.7,0.176,95.24,1517,4.3,0.3,0.98,4.03,0.1,11.9,0.43,2.4,3.9
31.0,78.0,215.0,25.6,0.163,95.83,3577,8.0,3.8,1.96,4.62,1.8,26.0,1.14,0.5,0.9
32.0,75.0,192.0,22.2,0.175,98.47,3446,6.9,5.2,1.54,4.17,1.8,20.0,3.46,0.6,0.2
25.0,79.0,232.0,18.4,0.153,100.91,2467,5.2,2.1,1.44,4.35,0.5,14.1,0.99,0.9,2.7
21.0,75.0,195.0,28.5,0.242,101.3,3191,12.3,12.0,2.15,4.24,4.6,28.2,4.27,0.6,0.9
24.0,76.0,205.0,33.6,0.224,95.19,2264,13.4,12.5,2.44,4.38,6.2,27.5,5.12,1.3,1.4
30.0,80.0,230.0,25.0,0.107,99.59,3408,5.4,0.6,1.88,4.52,0.2,14.5,0.3,0.8,1.5
24.0,79.0,245.0,18.3,0.136,102.8,2110,4.7,0.8,1.4,4.29,0.3,16.2,0.52,4.3,4.6
29.0,78.0,195.0,19.0,0.182,102.38,2257,6.3,5.3,1.48,4.36,1.9,17.8,2.65,0.3,0.9
23.0,84.0,238.0,20.0,0.201,96.91,2834,7.2,1.5,1.45,4.36,0.6,21.3,0.42,2.3,4.0
24.0,78.0,200.0,33.2,0.176,97.38,5456,10.9,6.6,2.45,4.43,2.7,31.1,2.86,0.7,1.2
26.0,76.0,215.0,33.0,0.257,99.01,4026,16.2,9.9,2.46,4.17,8.5,34.2,4.18,1.1,1.3
25.0,84.0,240.0,27.3,0.173,104.58,4818,9.1,1.7,2.02,4.16,0.6,26.0,0.67,6.4,8.2
31.0,71.0,166.0,14.1,0.157,95.24,1173,4.5,2.2,1.05,4.53,1.6,13.9,4.14,0.2,0.2
34.0,84.0,270.0,15.8,0.214,102.0,2479,6.2,0.7,1.11,4.01,0.4,13.0,0.48,2.5,6.2
28.0,82.0,251.0,34.0,0.276,97.3,4208,15.9,3.9,2.16,3.81,2.7,50.2,1.41,5.9,5.1
30.0,81.0,200.0,20.1,0.175,98.84,2821,7.0,0.6,1.53,4.25,0.4,12.5,0.58,0.5,4.1
34.0,77.0,195.0,27.9,0.162,102.83,3710,9.5,2.9,2.03,4.18,3.0,22.7,2.01,0.3,0.6
23.0,73.0,187.0,22.6,0.168,101.63,2153,7.1,5.3,1.81,4.52,3.1,23.5,3.97,0.2,0.5
31.0,75.0,200.0,18.5,0.15,99.74,2071,5.2,5.1,1.45,4.36,2.1,13.8,5.21,0.1,0.2
26.0,80.0,212.0,7.3,0.14,97.6,336,1.7,0.3,0.56,4.29,0.0,5.6,0.87,0.6,1.7
33.0,85.0,255.0,33.0,0.255,95.03,4776,14.2,3.1,2.04,3.74,2.1,57.8,0.55,8.0,5.4
26.0,81.0,235.0,17.1,0.181,100.13,2421,6.0,0.4,1.17,4.12,0.6,14.5,0.28,1.4,1.6
29.0,81.0,200.0,21.1,0.172,97.6,3440,7.2,0.6,1.59,4.2,0.5,15.0,0.48,0.8,4.7
27.0,79.0,212.0,6.6,0.129,103.12,527,1.6,0.6,0.5,4.16,0.2,6.0,1.42,0.1,0.3
28.0,82.0,250.0,17.0,0.186,100.43,2061,6.0,0.1,1.2,3.97,0.1,17.5,0.5,0.8,5.6
24.0,71.0,185.0,19.7,0.151,106.5,1313,5.9,7.8,1.54,4.52,1.2,18.7,3.98,0.1,0.4
30.0,81.0,242.0,21.3,0.229,101.84,3573,9.8,2.2,1.49,4.21,1.2,24.4,0.59,0.9,1.7
24.0,86.0,229.0,16.2,0.151,104.65,950,4.3,0.2,1.25,4.33,0.0,16.2,0.4,1.7,4.0
24.0,80.0,207.0,25.2,0.254,100.67,3267,11.4,7.0,1.88,4.27,2.4,23.4,1.78,0.5,1.4
20.0,79.0,200.0,9.0,0.15,102.28,906,2.6,0.6,0.67,4.09,0.1,6.0,0.73,0.5,1.4
